iteration,setting_name,experiment_name,dataset_name,base_model,num_iterations,dataset_subset_size,sample_ratio,negative_sampling_strategy,learning_rate,train_batch_size,infer_batch_size,max_length,seed,delete_models,accuracy,evaluation_size,'Accessibility' precision,'Accessibility' recall,'Accessibility' f1,'Aggregation' precision,'Aggregation' recall,'Aggregation' f1,'Authentication' precision,'Authentication' recall,'Authentication' f1,'Chat' precision,'Chat' recall,'Chat' f1,'Consistency' precision,'Consistency' recall,'Consistency' f1,'Contacts' precision,'Contacts' recall,'Contacts' f1,macro avg precision,macro avg recall,macro avg f1,weighted avg precision,weighted avg recall,weighted avg f1,self_training_set_size
0,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_base,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.987012987012987,77,1.0,0.9090909090909092,0.9523809523809524,1.0,1.0,1.0,0.9090909090909092,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9848484848484848,0.9848484848484848,0.9841269841269842,0.988193624557261,0.987012987012987,0.987012987012987,
1,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_1,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.948051948051948,77,0.9,0.8181818181818182,0.8571428571428572,0.9166666666666666,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,0.8888888888888888,0.9411764705882352,0.8461538461538461,1.0,0.9166666666666666,1.0,1.0,1.0,0.9438034188034188,0.9511784511784512,0.9452512889213658,0.9518315018315018,0.948051948051948,0.9477249397782828,3818.0
2,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_2,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.8571428571428571,77,0.9,0.8181818181818182,0.8571428571428572,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7692307692307693,1.0,0.8695652173913044,1.0,0.6666666666666666,0.8,0.7692307692307693,0.9090909090909092,0.8333333333333333,0.8888888888888888,1.0,0.9411764705882352,0.8575887075887078,0.8686868686868686,0.8532332827729247,0.8737151737151736,0.8571428571428571,0.8538923869943235,3812.0
3,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_3,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.7142857142857143,77,0.5294117647058824,0.8181818181818182,0.6428571428571428,0.75,0.8181818181818182,0.7826086956521738,0.75,0.9,0.8181818181818182,1.0,0.5,0.6666666666666666,0.5555555555555556,0.9090909090909092,0.6896551724137931,1.0,0.5625,0.72,0.7641612200435729,0.7513257575757576,0.7199949159619324,0.8010992275698159,0.7142857142857143,0.7138720688567842,4024.0
4,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_4,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.6623376623376623,77,0.4090909090909091,0.8181818181818182,0.5454545454545455,0.75,0.8181818181818182,0.7826086956521738,0.7272727272727273,0.8,0.761904761904762,1.0,0.1666666666666666,0.2857142857142857,0.625,0.9090909090909092,0.7407407407407406,0.9230769230769232,0.75,0.8275862068965517,0.7390734265734267,0.7103535353535353,0.6573348727271765,0.774895558986468,0.6623376623376623,0.6332484139295019,4102.0
5,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_5,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.5454545454545454,77,0.4,0.7272727272727273,0.5161290322580645,0.7,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.8,0.761904761904762,1.0,0.3888888888888889,0.56,0.3703703703703703,0.9090909090909092,0.5263157894736842,1.0,0.125,0.2222222222222222,0.6996071829405163,0.5977693602693603,0.5422064120875666,0.7460623551532642,0.5454545454545454,0.5201925915192954,4182.0
6,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_6,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.5324675324675324,77,0.4090909090909091,0.8181818181818182,0.5454545454545455,0.625,0.4545454545454545,0.5263157894736842,0.6,0.6,0.6,1.0,0.3333333333333333,0.5,0.3846153846153846,0.9090909090909092,0.5405405405405405,1.0,0.3125,0.4761904761904761,0.6697843822843823,0.5712752525252526,0.5314168919432077,0.7221528471528472,0.5324675324675324,0.5240839902494038,4204.0
7,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_7,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.6363636363636364,77,0.3809523809523809,0.7272727272727273,0.5,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.4,0.4705882352941176,1.0,0.3333333333333333,0.5,0.5263157894736842,0.9090909090909092,0.6666666666666666,1.0,0.8125,0.896551724137931,0.7009949115212274,0.6515782828282829,0.6268465588952404,0.7492757868697718,0.6363636363636364,0.6348577048374209,4208.0
8,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_8,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.4155844155844156,77,0.3461538461538461,0.8181818181818182,0.4864864864864865,0.4,0.1818181818181818,0.25,0.75,0.9,0.8181818181818182,1.0,0.1111111111111111,0.1999999999999999,0.3125,0.9090909090909092,0.4651162790697674,0.0,0.0,0.0,0.4681089743589743,0.4867003367003367,0.3699640972896786,0.482405094905095,0.4155844155844156,0.3246681636745062,4100.0
9,my_experiment_user_stories_sileod/deberta-v3-large-tasksource-nli_10_10000_0.33_take_random_2e-05_4_256_iter_9,my_experiment,user_stories,sileod/deberta-v3-large-tasksource-nli,10,10000,0.33,take_random,2e-05,4,4,256,108,False,0.4545454545454545,77,0.3846153846153846,0.9090909090909092,0.5405405405405405,0.625,0.4545454545454545,0.5263157894736842,0.75,0.9,0.8181818181818182,1.0,0.0555555555555555,0.1052631578947368,0.3333333333333333,0.9090909090909092,0.4878048780487804,0.0,0.0,0.0,0.515491452991453,0.538047138047138,0.4130176973565933,0.523018648018648,0.4545454545454545,0.3529588092547597,3986.0
